ID	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
C141	NA	NA	NA	NA	NA	NA	NA	173.4473684
C163	24.1	12.66666667	53.33333333	13.01666667	3.5	5.166666667	4.5	173.4827586
W279	28.2	12	42	12.15	2.833333333	5.833333333	3.333333333	173.5555556
C059	25.7	14.33333333	48.33333333	12.46666667	2.616666667	6.333333333	3.333333333	173.9642857
W233	27.13333333	13	54	12.5	2.466666667	5.833333333	3.333333333	174.5925926
W112	32.46666667	9.666666667	41	10.8	2.85	5.166666667	4.333333333	175
C197	32.13333333	12.66666667	45.66666667	16.25	3.9	6.5	4	175.0833333
C080	28.83333333	12	37.66666667	11.86666667	2.683333333	6.166666667	3.333333333	175.09375
C104	29.73333333	12	44.66666667	12.3	2.75	6.166666667	3.5	175.4571429
C098	NA	NA	NA	NA	NA	NA	NA	176.1153846
W224	26.03333333	10.33333333	45.33333333	13.95	3.7	5.166666667	3.666666667	176.1470588
W022	34.4	14.33333333	52.66666667	13.5	2.1	5.833333333	3.666666667	176.3448276
