ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W291	2013HN	22.73333333	8.333333333	24	10.93333333	3.633333333	5.166666667	3.333333333	118.6818182
C149	2013HN	19.26666667	10.33333333	25.33333333	8.216666667	2.233333333	6.166666667	4.333333333	120.125
C143	2013HN	25.33333333	10.33333333	25.33333333	11.63333333	2.85	5.5	3.666666667	120.2352941
W112	2013HN	21.4	7	22.33333333	10.2	2.966666667	5.333333333	3.833333333	120.25
C101	2013HN	21.96666667	11.33333333	31.33333333	10.21666667	3.15	6	5.166666667	120.3333333
W099	2013HN	23.96666667	10	23.33333333	10.78333333	2.566666667	5.666666667	3.333333333	121
C127	2013HN	NA	NA	NA	NA	NA	NA	NA	121.6428571
W314	2013HN	23.23333333	7	23	13.25	4.333333333	5.5	4.333333333	121.6666667
W176	2013HN	21.63333333	10.33333333	28.66666667	9.733333333	2.983333333	5.5	3.5	121.8965517
W024	2013HN	22.83333333	13.33333333	23	9.8	2.033333333	6.666666667	2.666666667	122.0833333
C185	2013HN	25.6	11.33333333	29.66666667	10.86666667	2.466666667	6.833333333	4	122.2857143
W284	2013HN	22.56666667	13.33333333	31	9.05	2.316666667	5	3.333333333	122.5384615
W208	2013HN	16.36666667	11.33333333	30.33333333	8.833333333	2.416666667	5.666666667	3.5	123.0666667
C038	2013HN	23.36666667	9.333333333	28.33333333	10.11666667	2.816666667	5.833333333	3	123.1666667
W317	2013HN	22.6	9	27	11.98333333	3.266666667	5.666666667	3.833333333	123.5357143
W032	2013HN	23.33333333	12.33333333	40	11.15	2.85	6.166666667	3.5	123.9090909
W009	2013HN	21.8	10.66666667	25.33333333	9.783333333	2.55	5.666666667	3.333333333	125.0714286
W225	2013HN	23.56666667	11.33333333	21.33333333	9	2.366666667	5.5	3	125.6153846
W174	2013HN	22.66666667	9.333333333	35	13.33333333	3.916666667	6	4.666666667	126.2666667
W147	2013HN	23.96666667	13.66666667	23	10.61666667	2.55	6.333333333	3.166666667	126.4230769
W159	2013HN	20.86666667	11	27.33333333	10.48333333	2.666666667	6.166666667	3.333333333	126.9333333
W111	2013HN	21.93333333	9.333333333	25	10.96666667	2.916666667	6	3.333333333	126.95
C140	2013HN	23.66666667	10	17.66666667	11.65	2.616666667	6.166666667	3	127
W254	2013HN	24.9	13.33333333	20.66666667	10.56666667	2.566666667	5.833333333	3.333333333	127.5
W229	2013HN	27.4	11	24	13.5	2.333333333	6.333333333	2.5	128.4482759
W128	2013HN	27.13333333	15.33333333	31.33333333	9.116666667	2	6	2.666666667	128.5
W095	2013HN	24.3	9	28.66666667	10.75	2.65	6.5	3.333333333	128.9375
W222	2013HN	27.43333333	12	27.33333333	12.85	3.216666667	7.166666667	3.666666667	129.0588235
C180	2013HN	24.36666667	11.66666667	27.33333333	10.76666667	2.45	6.333333333	2.666666667	129.1818182
W315	2013HN	23.76666667	9	27.66666667	11.26666667	2.9	6.166666667	3	129.4166667
W289	2013HN	24.76666667	11.66666667	23.66666667	11.16666667	2.483333333	5.833333333	3	130.25
C076	2013HN	24.66666667	11	31.66666667	11.75	2.983333333	6.5	3.666666667	131.6774194
C142	2013HN	22.23333333	11.33333333	43	10.45	2.816666667	4.833333333	3.5	133.2631579
C197	2013HN	27.5	10.66666667	36.66666667	11.98333333	2.933333333	5.666666667	3.333333333	133.2857143
W279	2013HN	23.73333333	9	36	12.21666667	3.4	5.666666667	5.166666667	133.5294118
C087	2013HN	23.93333333	13	34	9.7	2.733333333	6.166666667	4	133.5909091
